T23,Region,Year,Series,Value,,Footnotes,Source
AFG,Afghanistan,2018,Total supply (petajoules),184,Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
AFG,Afghanistan,2019,Total supply (petajoules),189,Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
AFG,Afghanistan,2020,Total supply (petajoules),197,Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
AFG,Afghanistan,1995,Supply per capita (gigajoules),2,Estimate.;Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
AFG,Afghanistan,2000,Supply per capita (gigajoules),2,Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
AFG,Afghanistan,2005,Supply per capita (gigajoules),2,Estimate.;Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
AFG,Afghanistan,2010,Supply per capita (gigajoules),5,Estimate.;Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
AFG,Afghanistan,2015,Supply per capita (gigajoules),5,Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
AFG,Afghanistan,2018,Supply per capita (gigajoules),5,Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
AFG,Afghanistan,2019,Supply per capita (gigajoules),5,Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
AFG,Afghanistan,2020,Supply per capita (gigajoules),5,Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
